"term","estimate","std_error","statistic","p_value","rr","rr_low","rr_high","pathway_id","pathway_title","pollution_stage","data_status","outcome","n_rows","n_months"
"mean_temp",-0.00746653500844587,0.00963708894251291,-0.774770789497242,0.438475112728932,0.992561270317885,0.973989038669411,1.01148764125819,"P01","Continuous same-month mean temperature","none","HA_APPROVED_AGGREGATE","chd",132,132
"mean_tmax",-0.0101528215202887,0.0156912372881924,-0.647037664004271,0.517607567530206,0.989898544388842,0.959917777519819,1.02081568977184,"P02","Continuous same-month Tmax and Tmin","none","HA_APPROVED_AGGREGATE","chd",132,132
"mean_tmin",0.00335809758318549,0.0173795562180285,0.193221135284341,0.846785787059556,1.00336374230962,0.969760803131332,1.03813104853365,"P02","Continuous same-month Tmax and Tmin","none","HA_APPROVED_AGGREGATE","chd",132,132
"lag1_mean_tmax",0.00492874619433894,0.0166290559683008,0.296393625936095,0.766929492534514,1.00494091244377,0.972714946237073,1.03823452226175,"P03","Lag-1 month temperature","none","HA_APPROVED_AGGREGATE","chd",132,132
"lag1_mean_tmin",-0.00740316096041787,0.0180432948738046,-0.410299837817639,0.68158601104057,0.99262417493674,0.958133633169578,1.02835629452792,"P03","Lag-1 month temperature","none","HA_APPROVED_AGGREGATE","chd",132,132
"I(hot_nights/5)",0.0429953245504094,0.0157677727036198,2.7267849022544,0.0063954714653062,1.04393301398302,1.01216387548321,1.076699301448,"P04","Official extreme-day counts","none","HA_APPROVED_AGGREGATE","chd",132,132
"I(cold_days/5)",-0.00576937976586142,0.0203258209307089,-0.283844858494491,0.776529275590594,0.994247231145342,0.955416422737436,1.0346562327324,"P04","Official extreme-day counts","none","HA_APPROVED_AGGREGATE","chd",132,132
"I(very_hot_days/5)",-0.0297099153696193,0.0147681056765935,-2.01176210546134,0.0442450203184045,0.970727085717416,0.943031679535435,0.999235863857339,"P04","Official extreme-day counts","none","HA_APPROVED_AGGREGATE","chd",132,132
"days_in_hot_night_spell_ge5",0.00462813192231479,0.00198380719339001,2.33295450169532,0.0196505334025804,1.00463885826612,1.00074014359446,1.00855276167203,"P05","Ren/Wang spell burden","none","HA_APPROVED_AGGREGATE","chd",132,132
"days_in_very_hot_spell_ge5",-0.00430452470977792,0.00237612697479424,-1.8115718374649,0.0700523797555873,0.995704726477962,0.991078303065492,1.00035274636119,"P05","Ren/Wang spell burden","none","HA_APPROVED_AGGREGATE","chd",132,132
