path,exposure,reporting_step,bias_per_unit_exposure,bias_per_reporting_step,rr_multiplier_per_reporting_step,residual_corr_exposure_vs_path,provenance
linear,mean_temp,1.0,4.8040603097556045e-18,4.8040603097556045e-18,1.0,0.011022623684126199,REAL climate x ILLUSTRATIVE_ALGEBRA path
linear,mean_tmax,1.0,5.4561416805595765e-18,5.4561416805595765e-18,1.0,0.014008322853844658,REAL climate x ILLUSTRATIVE_ALGEBRA path
linear,mean_tmin,1.0,4.2531943945960815e-18,4.2531943945960815e-18,1.0,0.01009173183530316,REAL climate x ILLUSTRATIVE_ALGEBRA path
linear,hot_nights,5.0,5.283128837937517e-19,2.6415644189687585e-18,1.0,0.0036543833933049127,REAL climate x ILLUSTRATIVE_ALGEBRA path
linear,cold_days,5.0,-1.7272355372879437e-18,-8.636177686439719e-18,1.0,-0.007633782361343236,REAL climate x ILLUSTRATIVE_ALGEBRA path
linear,very_hot_days,5.0,3.0362212480893956e-19,1.5181106240446978e-18,1.0,0.002201726001744391,REAL climate x ILLUSTRATIVE_ALGEBRA path
front_loaded,mean_temp,1.0,-0.00020738902902126005,-0.00020738902902126005,0.9997926324745968,-0.06866659057854192,REAL climate x ILLUSTRATIVE_ALGEBRA path
front_loaded,mean_tmax,1.0,-0.00013419833107093735,-0.00013419833107093735,0.9998658106731223,-0.04971996270720571,REAL climate x ILLUSTRATIVE_ALGEBRA path
front_loaded,mean_tmin,1.0,-0.0002335423591957176,-0.0002335423591957176,0.9997664849096982,-0.07996488333338435,REAL climate x ILLUSTRATIVE_ALGEBRA path
front_loaded,hot_nights,5.0,-2.6011969194381413e-05,-0.00013005984597190708,0.9998699486114432,-0.025964461173532325,REAL climate x ILLUSTRATIVE_ALGEBRA path
front_loaded,cold_days,5.0,-0.00018121996986886817,-0.0009060998493443409,0.9990943105351651,-0.1155786025470764,REAL climate x ILLUSTRATIVE_ALGEBRA path
front_loaded,very_hot_days,5.0,3.4833139933895225e-06,1.7416569966947612e-05,1.0000174167216362,0.0036450681882636816,REAL climate x ILLUSTRATIVE_ALGEBRA path
closed_pool,mean_temp,1.0,-5.17254463747476e-05,-5.17254463747476e-05,0.999948275891363,-0.02096209494833156,REAL climate x ILLUSTRATIVE_ALGEBRA path
closed_pool,mean_tmax,1.0,7.939425396701752e-06,7.939425396701752e-06,1.0000079394569141,0.0036003397223236173,REAL climate x ILLUSTRATIVE_ALGEBRA path
closed_pool,mean_tmin,1.0,-8.821034868774065e-05,-8.821034868774065e-05,0.9999117935417307,-0.03696782623977354,REAL climate x ILLUSTRATIVE_ALGEBRA path
closed_pool,hot_nights,5.0,-5.652146720944995e-05,-0.00028260733604724975,0.9997174325936444,-0.06905422265188119,REAL climate x ILLUSTRATIVE_ALGEBRA path
closed_pool,cold_days,5.0,-0.0001056423250991114,-0.000528211625495557,0.9994719278537059,-0.08246697547568693,REAL climate x ILLUSTRATIVE_ALGEBRA path
closed_pool,very_hot_days,5.0,-8.548180586006091e-06,-4.2740902930030455e-05,0.9999572600104494,-0.010948571312217157,REAL climate x ILLUSTRATIVE_ALGEBRA path
front_loaded_plus_covid_kink,mean_temp,1.0,0.00631915946386123,0.00631915946386123,1.0063391674744266,0.17766185162363207,REAL climate x ILLUSTRATIVE_ALGEBRA path
front_loaded_plus_covid_kink,mean_tmax,1.0,0.004508731936328268,0.004508731936328268,1.004518911561482,0.14184474725462973,REAL climate x ILLUSTRATIVE_ALGEBRA path
front_loaded_plus_covid_kink,mean_tmin,1.0,0.006003053366631726,0.006003053366631726,1.0060211078006567,0.17453438987403322,REAL climate x ILLUSTRATIVE_ALGEBRA path
front_loaded_plus_covid_kink,hot_nights,5.0,0.002371670535787156,0.011858352678935782,1.011928941690248,0.2010183040333642,REAL climate x ILLUSTRATIVE_ALGEBRA path
front_loaded_plus_covid_kink,cold_days,5.0,-0.0017381067926987603,-0.0086905339634938,0.9913471195714016,-0.09412890469130276,REAL climate x ILLUSTRATIVE_ALGEBRA path
front_loaded_plus_covid_kink,very_hot_days,5.0,0.001855991180104101,0.009279955900520505,1.0093231481954223,0.16491649789726753,REAL climate x ILLUSTRATIVE_ALGEBRA path
covid_kink_0p10_only,mean_temp,1.0,0.0035813833244491035,0.0035813833244491035,1.0035878041405537,0.15420783429932744,REAL climate x ILLUSTRATIVE_ALGEBRA path
covid_kink_0p10_only,mean_tmax,1.0,0.0026001909577958466,0.0026001909577958466,1.0026035743861887,0.12528089512919371,REAL climate x ILLUSTRATIVE_ALGEBRA path
covid_kink_0p10_only,mean_tmin,1.0,0.0033299061738435737,0.0033299061738435737,1.0033354564703525,0.14827282640536293,REAL climate x ILLUSTRATIVE_ALGEBRA path
covid_kink_0p10_only,hot_nights,5.0,0.00149900053350428,0.0074950026675214,1.0075231605037405,0.1945825074050568,REAL climate x ILLUSTRATIVE_ALGEBRA path
covid_kink_0p10_only,cold_days,5.0,-0.0008469179614644435,-0.004234589807322217,0.9957743634258809,-0.07024390606601347,REAL climate x ILLUSTRATIVE_ALGEBRA path
covid_kink_0p10_only,very_hot_days,5.0,0.0011422935890495999,0.005711467945247999,1.0057278094748536,0.1554485576339836,REAL climate x ILLUSTRATIVE_ALGEBRA path
