outcome,pathway_id,exposure,rr_min_over_time_controls,rr_max_over_time_controls,log_rr_baseline_ns4,log_rr_width_over_time_controls,width_as_share_of_baseline_log_rr,p_min_over_time_controls,p_max_over_time_controls,provenance
chd,P01A,mean_temp,0.988382746066695,0.995545512615374,-0.0069691566856244875,0.007220823272917458,1.03611148359056,0.153662214669372,0.597407352072431,HA_APPROVED_AGGREGATE
chd,P02A,mean_tmax,0.989347288111919,0.994104411280962,-0.007087204595370231,0.0047968219161387896,0.676828480339392,0.121014452558206,0.409877838827072,HA_APPROVED_AGGREGATE
chd,P02B,mean_tmin,0.990233062275714,0.996940468382859,-0.005846375456467957,0.006750725567042588,1.154685602611124,0.215276552386636,0.715712203426312,HA_APPROVED_AGGREGATE
chd,P04A,hot_nights,1.01088238080681,1.02464784910213,0.021589473088339296,0.013525397896662196,0.6264811485356447,0.0143662998446061,0.315138318189256,HA_APPROVED_AGGREGATE
chd,P04B,cold_days,0.988555569398595,0.998517318154471,-0.005383247100656798,0.010026639964341272,1.8625635748947775,0.689606042806252,0.951225055127704,HA_APPROVED_AGGREGATE
chd,P04C,very_hot_days,0.993203715568649,1.00586622486406,-0.0006100238051776159,0.012668569910603014,20.76733695157094,0.619255315646811,0.962414276235873,HA_APPROVED_AGGREGATE
hf,P01A,mean_temp,0.968839717100941,0.97493846265917,-0.026005537937372564,0.006275166204258074,0.2413011497539542,0.00864370030756589,0.0732318790366535,HA_APPROVED_AGGREGATE
hf,P02A,mean_tmax,0.976926643041602,0.981615091867577,-0.019046489250947405,0.004787702705702716,0.25136930184992323,0.019377114815759,0.124330920466167,HA_APPROVED_AGGREGATE
hf,P02B,mean_tmin,0.968715433809096,0.973944599100352,-0.027273221893194425,0.005383523449407283,0.19739227988867172,0.00947189343992109,0.0547747997764036,HA_APPROVED_AGGREGATE
hf,P04A,hot_nights,0.993116104319417,1.00395904447978,0.0031045269861724434,0.010858927079720781,3.497771843532499,0.665413971100482,0.844833826098429,HA_APPROVED_AGGREGATE
hf,P04B,cold_days,1.06059250868813,1.07280014928024,0.07027219213543381,0.011444469716753856,0.16285915337175222,0.0309646706542344,0.0729593334183776,HA_APPROVED_AGGREGATE
hf,P04C,very_hot_days,0.989286333904344,0.997244696157753,-0.005001314688315534,0.008012363974008287,1.6020515551095804,0.53716414496046,0.839430276717593,HA_APPROVED_AGGREGATE
