outcome,pathway_id,exposure,rr,p_value,q_value_release,q_value_recomputed,approx_se_from_nw6_ci,abs_log_rr,detectable_abs_log_rr_80pct_alpha05,detectable_rr_up_80pct,detectable_rr_down_80pct,observed_over_detectable,data_status
chd,P01A,mean_temp,0.993055071570653,0.423539192797939,0.726067187653609,0.7260671876536097,0.008708381373179088,0.0069691566856244875,0.024383467844901443,1.024683175610714,0.9759114073518356,0.2858148287173078,HA_APPROVED_AGGREGATE
chd,P02A,mean_tmax,0.992937850414184,0.320946001953216,0.641892003906431,0.641892003906432,0.007140778164481267,0.007087204595370231,0.019994178860547544,1.020195401309771,0.9802043791965311,0.35446339881227545,HA_APPROVED_AGGREGATE
chd,P02B,mean_tmin,0.994170681340187,0.509026940897322,0.763540411345983,0.763540411345983,0.00885356396972194,0.005846375456467957,0.02478997911522143,1.025099805546752,0.9755147689903574,0.23583623968759992,HA_APPROVED_AGGREGATE
chd,P04A,hot_nights,1.02182421201542,0.0320398433085943,0.192239059851566,0.1922390598515658,0.010070309637052625,0.021589473088339296,0.02819686698374735,1.0285981615077886,0.9721969544784452,0.7656692178171232,HA_APPROVED_AGGREGATE
chd,P04B,cold_days,0.994631216608471,0.823078662594747,0.899729950076576,0.8997299500765767,0.024077184437669426,0.005383247100656798,0.06741611642547439,1.0697405221753917,0.9348061322071173,0.07985104135459575,HA_APPROVED_AGGREGATE
chd,P04C,very_hot_days,0.999390162221515,0.962414276235873,0.962414276235873,0.9624142762358728,0.012945272265334396,0.0006100238051776159,0.036246762342936306,1.0369116856808631,0.9644022859510682,0.016829746044793877,HA_APPROVED_AGGREGATE
hf,P01A,mean_temp,0.974329693816984,0.0691548229807702,0.207464468942311,0.20746446894231063,0.01430940685613246,0.026005537937372564,0.04006633919717088,1.040879823033852,0.9607257032663967,0.6490619921474842,HA_APPROVED_AGGREGATE
hf,P02A,mean_tmax,0.981133749009481,0.113483325974114,0.272359982337874,0.2723599823378736,0.012034178522422733,0.019046489250947405,0.03369569986278365,1.0342698303859996,0.9668656772351082,0.5652498487495118,HA_APPROVED_AGGREGATE
hf,P02B,mean_tmin,0.973095334250664,0.0504136413025569,0.201654565210228,0.2016545652102276,0.013940503184947396,0.027273221893194425,0.03903340891785271,1.0398052218371112,0.9617185786326559,0.6987148355551511,HA_APPROVED_AGGREGATE
hf,P04A,hot_nights,1.0031093510209,0.824752454236862,0.899729950076576,0.8997299500765767,0.01402019015448037,0.0031045269861724434,0.03925653243254503,1.0400372527176132,0.9615040205406145,0.07908306704131317,HA_APPROVED_AGGREGATE
hf,P04B,cold_days,1.07280014928024,0.0309646706542344,0.192239059851566,0.1922390598515658,0.03257131970162958,0.07027219213543381,0.09119969516456282,1.0954877470228204,0.9128354038807599,0.7705309980327573,HA_APPROVED_AGGREGATE
hf,P04C,very_hot_days,0.995011171062262,0.76411154706375,0.899729950076576,0.8997299500765767,0.01666657663828522,0.005001314688315534,0.04666641458719861,1.0477724291772104,0.9544057203197026,0.10717160794451688,HA_APPROVED_AGGREGATE
