exposure_1,exposure_2,residual_corr_after_month_ns4,data_status
mean_temp,mean_temp,1.0,REAL
mean_temp,mean_tmax,0.9545068289332285,REAL
mean_temp,mean_tmin,0.9784285096489954,REAL
mean_temp,hot_nights,0.27652104481569173,REAL
mean_temp,cold_days,-0.6204006531140637,REAL
mean_temp,very_hot_days,0.29889166874070744,REAL
mean_tmax,mean_temp,0.9545068289332285,REAL
mean_tmax,mean_tmax,1.0,REAL
mean_tmax,mean_tmin,0.8859430348429261,REAL
mean_tmax,hot_nights,0.2668927734949622,REAL
mean_tmax,cold_days,-0.5298267972897729,REAL
mean_tmax,very_hot_days,0.35169588830357357,REAL
mean_tmin,mean_temp,0.9784285096489954,REAL
mean_tmin,mean_tmax,0.8859430348429261,REAL
mean_tmin,mean_tmin,1.0,REAL
mean_tmin,hot_nights,0.2596117915392159,REAL
mean_tmin,cold_days,-0.6640208772745965,REAL
mean_tmin,very_hot_days,0.24787892577647794,REAL
hot_nights,mean_temp,0.2765210448156917,REAL
hot_nights,mean_tmax,0.2668927734949622,REAL
hot_nights,mean_tmin,0.2596117915392159,REAL
hot_nights,hot_nights,1.0,REAL
hot_nights,cold_days,0.011135914927362512,REAL
hot_nights,very_hot_days,0.6998755250757652,REAL
cold_days,mean_temp,-0.6204006531140637,REAL
cold_days,mean_tmax,-0.529826797289773,REAL
cold_days,mean_tmin,-0.6640208772745965,REAL
cold_days,hot_nights,0.01113591492736251,REAL
cold_days,cold_days,1.0,REAL
cold_days,very_hot_days,0.008218742905391195,REAL
very_hot_days,mean_temp,0.2988916687407074,REAL
very_hot_days,mean_tmax,0.35169588830357357,REAL
very_hot_days,mean_tmin,0.24787892577647794,REAL
very_hot_days,hot_nights,0.6998755250757652,REAL
very_hot_days,cold_days,0.008218742905391195,REAL
very_hot_days,very_hot_days,1.0,REAL
